time_year,rcp85_weighted_mean,Temperature percentage change 
2015,75.1,1.35
2016,74.8,0.94
2017,75.2,1.48
2018,75.5,1.89
2019,75.1,1.35
2020,75.9,2.43
2021,75.1,1.35
2022,75.7,2.16
2023,75.5,1.89
2024,75.7,2.16
2025,75.9,2.43
2026,75.5,1.89
2027,75.3,1.62
2028,76.1,2.70
2029,75.9,2.43
2030,76.1,2.70
2031,76.3,2.97
2032,76,2.56
2033,76.3,2.97
2034,76.4,3.10
2035,77,3.91
2036,76.4,3.10
2037,77.2,4.18
2038,76.7,3.51
2039,76.8,3.64
2040,77.1,4.05
2041,77,3.91
2042,77.5,4.59
2043,77,3.91
2044,76.9,3.78
2045,77.7,4.86